"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","Bank Top","E05001553","Total",1872,11,352,814,588,84,23
"2011","Central","E05001554","Total",2126,12,515,967,505,91,36
"2011","Cockerton East","E05001555","Total",2257,4,87,693,1236,220,17
"2011","Cockerton West","E05001556","Total",1880,3,376,522,910,59,10
"2011","College","E05001557","Total",1851,4,184,385,588,447,243
"2011","Eastbourne","E05001558","Total",2758,7,245,1072,1300,111,23
"2011","Faverdale","E05001559","Total",1204,5,20,276,548,299,56
"2011","Harrowgate Hill","E05001560","Total",2511,0,30,831,1297,290,63
"2011","Haughton East","E05001561","Total",1784,5,164,585,865,141,24
"2011","Haughton North","E05001562","Total",1544,1,111,498,656,257,21
"2011","Haughton West","E05001563","Total",2147,4,40,632,1173,277,21
"2011","Heighington and Coniscliffe","E05001564","Total",1582,1,47,250,627,502,155
"2011","Hummersknott","E05001565","Total",1434,0,76,155,585,552,66
"2011","Hurworth","E05001566","Total",1604,1,66,380,680,388,89
"2011","Lascelles","E05001567","Total",1851,12,224,691,792,115,17
"2011","Lingfield","E05001568","Total",1706,4,112,700,800,74,16
"2011","Middleton St George","E05001569","Total",1884,2,60,427,700,558,137
"2011","Mowden","E05001570","Total",1680,2,71,403,891,240,73
"2011","North Road","E05001571","Total",2933,5,553,1308,856,192,19
"2011","Northgate","E05001572","Total",2227,9,331,1167,455,158,107
"2011","Park East","E05001573","Total",2727,5,289,1002,1104,202,125
"2011","Park West","E05001574","Total",1581,2,155,247,608,411,158
"2011","Pierremont","E05001575","Total",2667,4,94,1477,947,114,31
"2011","Sadberge and Whessoe","E05001576","Total",860,0,40,163,379,200,78
"2011","Annfield Plain","E05007955","Total",3522,4,125,1513,1597,219,64
"2011","Aycliffe East","E05007956","Total",2787,3,125,947,1386,271,55
"2011","Aycliffe North","E05007957","Total",3271,6,126,817,1553,683,86
"2011","Aycliffe West","E05007958","Total",3335,5,149,1050,1820,267,44
"2011","Barnard Castle East","E05007959","Total",3856,4,268,1174,1619,597,194
"2011","Barnard Castle West","E05007960","Total",3563,2,173,931,1474,733,250
"2011","Belmont","E05007961","Total",2750,1,116,754,1304,485,90
"2011","Benfieldside","E05007962","Total",2912,4,39,855,1489,408,117
"2011","Bishop Auckland Town","E05007963","Total",3565,7,226,1250,1346,593,143
"2011","Blackhalls","E05007964","Total",3371,8,233,1529,1252,277,72
"2011","Brandon","E05007965","Total",4355,6,373,1349,2128,431,68
"2011","Burnopfield and Dipton","E05007966","Total",3543,1,95,1275,1642,453,77
"2011","Chester-le-Street North and East","E05007967","Total",3820,13,276,1307,1673,462,89
"2011","Chester-le-Street South","E05007968","Total",3597,5,370,821,1514,756,131
"2011","Chester-le-Street West Central","E05007969","Total",3541,5,432,989,1844,218,53
"2011","Chilton","E05007970","Total",3950,11,299,1488,1663,396,93
"2011","Consett North","E05007971","Total",3978,11,265,1565,1596,465,76
"2011","Coundon","E05007972","Total",3151,12,225,1340,1155,345,74
"2011","Coxhoe","E05007973","Total",3080,5,176,1020,1437,380,62
"2011","Craghead and South Moor","E05007974","Total",3438,3,169,1405,1622,196,43
"2011","Crook North and Tow Law","E05007975","Total",3359,3,206,1199,1448,408,95
"2011","Crook South","E05007976","Total",3826,4,293,1409,1679,370,71
"2011","Dawdon","E05007977","Total",3115,6,310,1015,1450,295,39
"2011","Deerness Valley","E05007978","Total",4279,5,171,1411,2125,466,101
"2011","Delves Lane and Consett South","E05007979","Total",5275,9,124,1632,2765,620,125
"2011","Deneside","E05007980","Total",3104,0,220,1533,1079,233,39
"2011","Durham South","E05007981","Total",2879,4,156,941,1210,451,117
"2011","Easington","E05007982","Total",3452,8,304,1110,1617,357,56
"2011","Elvet","E05007983","Total",1668,5,259,427,385,327,265
"2011","Esh","E05007984","Total",2878,3,75,1118,1189,402,91
"2011","Evenwood","E05007985","Total",3692,6,151,1377,1539,478,141
"2011","Ferryhill","E05007986","Total",4163,12,321,1798,1766,222,44
"2011","Framwellgate Moor","E05007987","Total",4487,9,336,1484,1838,669,151
"2011","Gilesgate","E05007988","Total",3616,8,339,910,1852,362,145
"2011","Horden","E05007989","Total",3628,8,305,1792,1312,181,30
"2011","Lanchester","E05007990","Total",3411,4,105,910,1678,580,134
"2011","Leadgate and Medomsley","E05007991","Total",4248,3,162,1493,1835,617,138
"2011","Lumley","E05007992","Total",3213,3,124,1038,1398,560,90
"2011","Murton","E05007993","Total",3511,12,402,1309,1383,353,52
"2011","Neville's Cross","E05007994","Total",3546,4,189,559,1107,1043,644
"2011","Newton Hall","E05007995","Total",3353,2,235,783,1624,560,149
"2011","Ouston and Urpeth","E05007996","Total",3268,9,157,949,1641,420,92
"2011","Pelton","E05007997","Total",3645,1,161,1116,1791,463,113
"2011","Peterlee East","E05007998","Total",3081,6,133,1232,1435,243,32
"2011","Peterlee West","E05007999","Total",3081,6,180,691,1898,265,41
"2011","Sacriston","E05008000","Total",2897,6,210,913,1447,281,40
"2011","Seaham","E05008001","Total",3612,7,393,1053,1601,439,119
"2011","Sedgefield","E05008002","Total",2997,6,177,759,1245,641,169
"2011","Sherburn","E05008003","Total",4118,13,260,1478,1733,518,116
"2011","Shildon East","E05008004","Total",3775,3,177,1289,1802,451,53
"2011","Shildon West","E05008005","Total",3255,8,271,1551,1182,204,39
"2011","Shotton","E05008006","Total",3990,8,336,1370,1831,369,76
"2011","Spennymoor and Middlestone","E05008007","Total",4258,0,253,1648,1630,650,77
"2011","Stanley","E05008008","Total",4166,6,150,1800,1984,185,41
"2011","Tanfield","E05008009","Total",3573,9,119,1161,1751,445,88
"2011","Thornley","E05008010","Total",3084,4,240,1057,1458,290,35
"2011","Trimdon","E05008011","Total",3192,3,175,1164,1551,245,54
"2011","Tudhoe","E05008012","Total",4083,5,290,1457,1895,365,71
"2011","Weardale","E05008013","Total",3700,7,151,1197,1509,599,237
"2011","West Auckland","E05008014","Total",3739,2,146,1266,1636,598,91
"2011","Willington","E05008015","Total",4005,5,256,1439,1611,564,130
"2011","Wingate","E05008016","Total",4387,5,291,1095,2214,632,150
"2011","Woodhouse Close","E05008017","Total",3809,6,290,1512,1703,239,59
"2011","Brus","E05001465","Total",2891,9,306,931,1472,148,25
"2011","Burn Valley","E05001466","Total",2522,5,117,870,1066,332,132
"2011","Dyke House","E05001467","Total",2186,4,244,524,1211,168,35
"2011","Elwick","E05001468","Total",830,1,32,131,301,245,120
"2011","Fens","E05001469","Total",2159,2,67,678,1170,182,60
"2011","Foggy Furze","E05001470","Total",2044,4,125,563,1174,119,59
"2011","Grange","E05001471","Total",2334,8,122,927,873,217,187
"2011","Greatham","E05001472","Total",952,2,59,342,367,141,41
"2011","Hart","E05001473","Total",2899,3,86,696,1392,586,136
"2011","Owton","E05001474","Total",2516,1,310,1187,957,39,22
"2011","Park","E05001475","Total",2446,5,53,347,899,851,291
"2011","Rift House","E05001476","Total",2772,8,284,652,1631,150,47
"2011","Rossmere","E05001477","Total",2792,5,225,1006,1296,218,42
"2011","St Hilda","E05001478","Total",2610,2,372,826,1166,166,78
"2011","Seaton","E05001479","Total",2862,3,140,629,1295,688,107
"2011","Stranton","E05001480","Total",3133,19,735,1171,868,237,103
"2011","Throston","E05001481","Total",2486,8,203,412,1342,452,69
"2011","Acklam","E05001482","Total",2498,3,107,353,1620,348,67
"2011","Ayresome","E05001483","Total",2567,8,76,435,1857,139,52
"2011","Beckfield","E05001484","Total",2230,0,316,639,1186,68,21
"2011","Beechwood","E05001485","Total",2426,8,387,574,1306,134,17
"2011","Brookfield","E05001486","Total",2482,0,51,751,1352,272,56
"2011","Clairville","E05001487","Total",2228,6,284,550,1175,172,41
"2011","Coulby Newham","E05001488","Total",3827,4,665,910,1312,829,107
"2011","Gresham","E05001489","Total",3820,9,350,1735,1429,220,77
"2011","Hemlington","E05001490","Total",2595,5,472,535,1385,143,55
"2011","Kader","E05001491","Total",2118,6,43,427,1282,288,72
"2011","Ladgate","E05001492","Total",2343,8,94,529,1380,298,34
"2011","Linthorpe","E05001493","Total",3719,5,171,804,1954,585,200
"2011","North Ormesby and Brambles Farm","E05001494","Total",2815,6,214,954,1521,94,26
"2011","Marton","E05001495","Total",2028,4,104,484,963,359,114
"2011","Marton West","E05001496","Total",2205,3,55,496,894,689,68
"2011","Middlehaven","E05001497","Total",2057,21,518,862,414,145,97
"2011","Nunthorpe","E05001498","Total",1899,0,21,226,670,800,182
"2011","Pallister","E05001499","Total",2474,3,117,585,1686,61,22
"2011","Park","E05001500","Total",2339,15,154,516,1323,219,112
"2011","Park End","E05001501","Total",2531,2,105,749,1604,52,19
"2011","Stainton and Thornton","E05001502","Total",1229,1,96,312,555,220,45
"2011","Thorntree","E05001503","Total",2481,1,369,362,1567,144,38
"2011","University","E05001504","Total",2292,4,315,944,656,202,171
"2011","Alnwick","E05008018","Total",2138,6,332,584,945,205,66
"2011","Amble","E05008019","Total",2066,4,196,737,939,147,43
"2011","Amble West with Warkworth","E05008020","Total",1893,1,98,398,935,366,95
"2011","Ashington Central","E05008021","Total",2321,5,97,1160,968,75,16
"2011","Bamburgh","E05008022","Total",2375,7,130,828,958,326,126
"2011","Bedlington Central","E05008023","Total",1903,1,172,521,865,289,55
"2011","Bedlington East","E05008024","Total",2154,3,206,859,819,246,21
"2011","Bedlington West","E05008025","Total",2374,6,174,473,1099,548,74
"2011","Bellingham","E05008026","Total",1824,1,74,517,823,294,115
"2011","Berwick East","E05008027","Total",2188,2,295,843,889,114,45
"2011","Berwick North","E05008028","Total",2104,10,264,846,671,213,100
"2011","Berwick West with Ord","E05008029","Total",1708,6,51,632,793,183,43
"2011","Bothal","E05008030","Total",2016,3,286,537,823,305,62
"2011","Bywell","E05008031","Total",1913,0,133,401,753,472,154
"2011","Chevington with Longhorseley","E05008032","Total",1947,5,82,603,801,345,111
"2011","Choppington","E05008033","Total",2122,5,137,623,1177,150,30
"2011","College","E05008034","Total",2437,4,244,987,1026,151,25
"2011","Corbridge","E05008035","Total",1876,6,148,480,675,365,202
"2011","Cowpen","E05008036","Total",1875,2,251,379,1092,130,21
"2011","Cramlington East","E05008037","Total",2422,2,255,879,1137,123,26
"2011","Cramlington Eastfield","E05008038","Total",1986,5,62,489,1094,296,40
"2011","Cramlington North","E05008039","Total",2003,3,5,240,962,678,115
"2011","Cramlington South East","E05008040","Total",1884,0,110,819,760,158,37
"2011","Cramlington Village","E05008041","Total",2030,9,168,605,886,256,106
"2011","Cramlington West","E05008042","Total",2209,6,155,658,1134,221,35
